Mot;Distribution
énorme;3
esclave;5
priver;1
prière;1
écrie;1
troupes;2
forfait;4
demi;4
souffrons;2
aiment;1
revoir;2
descend;1
morts;11
ayant;2
destinée;2
illusion;2
flatte;1
conspirent;2
voisins;3
mauvaise;1
traitez;2
retient;1
préparatifs;1
puis;11
court;1
liberté;1
lieu;9
immortaliser;1
celer;2
doivent;4
seconde;2
accordais;1
imiter;1
fasse;4
due;1
guerre;12
étaient;1
entend;1
admire;2
ai;46
haute;6
perte;10
avec;36
jamais;12
impute;1
espoir;7
nom;12
deviendrez;1
appartenait;1
tremblant;1
épargne;2
abîmer;1
plaisirs;1
envieux;1
présentes;1
occident;1
secoure;1
douceurs;2
leur;60
imprimée;1
derrière;1
crimes;7
désespoirs;1
cherche;4
donnera;1
voit;13
voici;3
souhaitons;1
apprend;1
effroi;2
tâche;1
réduite;2
persécuter;2
les;159
victoire;19
cet;10
gardait;1
attirerait;1
adorant;1
effets;6
nets;1
fuit;3
maternelle;1
perdez;2
seulement;3
empire;5
pressantes;1
juger;2
exiger;1
misère;1
à;252
superbe;1
achevé;1
tiendrait;1
lui;54
voulait;1
dès;2
ma;103
revêtir;1
pleurs;26
témoignait;1
puissamment;2
soudain;5
sacrés;2
ennoblir;1
sommes;7
propre;3
effroyable;1
crains;3
amour;31
attachée;1
souille;1
conçoit;1
finir;2
fuis;1
être;23
mourront;1
chemin;2
quittera;1
fallait;2
ville;3
ingrat;2
chéri;1
pourrions;2
maître;4
tumulte;1
recevoir;3
défends;1
sabine;14
blessées;1
renouer;1
générosité;1
soupirer;1
office;3
allie;1
affreux;2
vivantes;1
différends;1
endurer;2
barbare;5
bontés;1
sainement;1
cesse;4
concevez;1
chaste;2
réglera;1
rompant;1
conservez;1
couronnes;1
infaillibles;1
contraindre;1
veut;21
ami;2
aisément;3
laisse;8
côté;1
prendrai;1
chers;2
malheureuses;1
pied;3
maltraitez;1
jour;19
jaloux;3
déplorable;1
illégitime;1
impie;2
forcer;1
pour;179
prenait;1
approches;1
laisser;1
irritent;1
ailleurs;5
demeurera;1
tristesse;2
souiller;3
crainte;2
gage;1
ordinaire;2
reproche;4
lors;2
chérir;1
retirons;1
rompu;1
interprétation;5
dorénavant;2
sachons;2
tous;46
appréhendez;1
loin;7
parlez;3
venger;4
obéisse;1
demain;5
noeud;1
parricide;2
moindre;4
amants;2
fumée;2
heureux;7
pouvaient;1
appris;1
heures;1
nuits;1
